trial,fault_type,severity,fault_onset,simplex_success,nosimplex_success,intervention_step,recovery_time,simplex_rmse,nosimplex_rmse,simplex_effort,nosimplex_effort
277,noise,1.0,10,False,False,11,7,186.43510104988394,186.5695076279663,1306998.4555648274,2130124.467338776
278,stuck,0.3,11,False,False,11,-1,186.58057259006523,186.60855287498478,1521000.0,1512741.5351163514
279,adversarial,1.0,30,False,False,30,-1,186.73917627214814,186.7794026078398,1521000.0,1069620.4708317881
280,adversarial,0.3,11,False,False,-1,-1,185.74517142272572,185.7991858798711,253500.0,377059.33458484523
281,adversarial,1.0,16,False,False,16,-1,185.9878981741982,185.91207798577025,1521000.0,592290.1012992081
282,adversarial,0.3,14,False,False,-1,-1,186.9352880108755,187.00810651907778,354900.0,514782.14272121177
283,noise,0.3,25,False,False,25,-1,185.9951779099125,186.1235066230821,1521000.0,2086844.6100570736
284,adversarial,0.6,28,False,False,28,2,187.008850511183,187.0632495830713,1444950.0,1025359.860781945
285,stuck,0.6,32,False,False,32,-1,186.39497360012348,186.55528530724567,1521000.0,2428436.9491396085
286,noise,1.0,15,False,False,15,4,186.49176055865038,186.6437708823472,1320309.6809970853,2129855.6162887765
287,noise,1.0,40,False,False,40,3,187.34713152217182,187.48796235443734,1470300.0,2149210.581200005
288,adversarial,0.6,13,False,False,13,7,186.03471175088515,185.93026510949676,1419600.0,457404.478330546
289,noise,0.3,13,False,False,13,7,186.4111822609707,186.58498276777553,1507350.1740982453,2322009.2030656
290,stuck,1.0,39,False,False,39,-1,186.0442612131703,186.21695230977875,1521000.0,2969244.3917626925
291,stuck,0.6,31,False,False,31,-1,186.17454436202354,186.35367105853217,1521000.0,2487169.8509021522
292,noise,0.3,40,False,False,40,-1,186.28335431594252,186.43341285269412,1521000.0,2264110.6260377225
293,noise,1.0,12,False,False,12,7,186.24222806546288,186.36426094874847,1379002.4953741296,2051021.4452715286
294,noise,0.3,36,False,False,36,4,186.9656945269289,187.08570185754087,1508066.1521627025,2006454.5587954798
295,noise,0.6,13,False,False,13,-1,185.9918112988796,186.13503019515397,1521000.0,2325407.85312228
296,noise,1.0,37,False,False,37,6,186.67104016095092,186.81530801239526,1452766.9807761419,2157949.752139278
297,adversarial,1.0,35,False,False,35,-1,186.01977678136126,186.11112643066133,1521000.0,1276054.5529924356
298,adversarial,0.6,35,False,False,35,5,187.4561100651834,187.55338473725118,1470300.0,1275706.047596363
299,stuck,1.0,27,False,False,27,-1,187.9598959502101,188.23905881900356,1521000.0,3515701.418085553
300,adversarial,1.0,21,False,False,21,-1,185.73031181729388,185.6816148067029,1521000.0,728359.8422705356
301,stuck,0.3,30,False,False,30,-1,186.13180428689753,186.24824878363404,1521000.0,1798706.9815658138
302,stuck,0.6,37,False,False,37,-1,187.1321497132553,187.27730243720106,1521000.0,2362798.915769059
303,stuck,0.6,13,False,False,13,-1,186.22329256240397,186.44096768490292,1521000.0,2619479.1475956757
304,stuck,1.0,30,False,False,30,-1,186.5847473869485,186.83010720175614,1521000.0,3345476.1072137468
305,stuck,0.3,14,False,False,14,-1,186.86950379178472,186.9135251673756,1521000.0,1540131.2347304516
306,noise,1.0,33,False,False,33,16,186.44644253070967,186.5767767298691,1475170.871901238,2137088.0552711515
307,noise,1.0,18,False,False,19,10,186.37655389456884,186.49145940065594,1422475.0346167593,2147886.234334201
308,stuck,0.6,34,False,False,34,-1,186.48678352741643,186.64772419995737,1521000.0,2425761.213040395
309,noise,1.0,23,False,False,23,1,187.0513106093617,187.21266559996442,1381046.5183799865,2216270.997658065
310,stuck,0.3,18,False,False,18,-1,187.35439920959251,187.41062877559298,1521000.0,1576285.8679526167
311,adversarial,0.6,36,False,False,36,4,185.81744514258287,185.92853403256566,1470300.0,1323491.8944307468
312,stuck,0.3,38,False,False,38,-1,187.10744317701509,187.249553752091,1521000.0,1927308.837415199
313,stuck,1.0,34,False,False,34,-1,185.90948027207324,186.11180927556993,1521000.0,3186848.5238675363
