t,x,y,z,vx,vy,vz,roll,pitch,yaw,p,q,r
98.97000000001373,4851.750825841277,82.61756760247471,16937.34032480087,82.23992126536268,1.353726065296486,51.74046831672116,-2.3247590565503438,-0.7949316591312606,-0.6463363782163123,0.15030626613069217,1.115552200665234,-5.868599080988112e-16
98.98000000001373,4852.5732269266455,82.63110630083959,16937.85674461767,82.24010853679576,1.3538698364882178,51.64198168028258,-2.3148859162833944,-0.8025148379352206,-0.6580272082210727,0.1496936122201178,1.1136411611690566,-5.868599080988112e-16
98.99000000001374,4853.395629870735,82.64464641105441,16938.37217959135,82.24029440899346,1.354011021481924,51.5434973681431,-2.3048282601106425,-0.810003371454492,-0.6698975446021428,0.14906779106857215,1.1117116842193102,-5.875875038602296e-16
99.00000000001374,4854.218034669065,82.65818792820679,16938.886629740853,82.24047983292388,1.3541517152383071,51.445014950050975,-2.294583690450862,-0.817395107841059,-0.6819498696988293,0.1484418984503354,1.109758905920346,-5.92680674190158e-16
99.01000000001375,4855.040441299283,82.6717308245585,16939.400095109457,82.24066302184984,1.3542896351703186,51.34653686051568,-2.2841498297398366,-0.824687961234903,-0.6941867465029302,0.14781025716354418,1.107798313613871,-5.86132312337393e-16
99.02000000001375,4855.8628497436475,82.68527508752928,16939.912575738843,82.24084443643908,1.354426297078762,51.2480629385926,-2.2735243159379377,-0.8318797852650908,-0.7066106089729248,0.1471830396299562,1.1058266450632073,-5.854047165759746e-16
99.03000000001376,4856.685259985333,82.69882068932644,16940.42407165976,82.24102416853562,1.3545601797166744,51.14959209158026,-2.262705042845628,-0.8389683975895887,-0.7192237861591531,0.14654500175452012,1.1038441000112176,-5.868599080988113e-16
99.04000000001376,4857.507671999484,82.71236761400932,16940.93458287743,82.24120141508817,1.3546924682889478,51.05112176725507,-2.2516902411798805,-0.8459514398704406,-0.7320282245920369,0.14589390375254543,1.1018283610035773,-5.919530784287398e-16
99.05000000001377,4858.330085759519,82.72591585070533,16941.44410942611,82.2413760034509,1.3548236696009974,50.95265486768225,-2.2404779863110713,-0.8528266272318188,-0.7450259117551579,0.1452457801911797,1.0997955980710925,-5.919530784287398e-16
99.06000000001377,4859.152501244517,82.73946537771803,16941.95265132419,82.24154849983911,1.3549527012692828,50.85418980833034,-2.2290666719145404,-0.8595916285959524,-0.7582186503268338,0.14458634438140802,1.0977432562212541,-5.83949525053138e-16
99.07000000001378,4859.9749184394395,82.75301617487489,16942.46020860737,82.24171949226366,1.3550797156858134,50.75572831769667,-2.2174546506449713,-0.8662441663742266,-0.7716082366005962,0.14392408287122646,1.0956847419121354,-5.824943335303013e-16
99.08000000001378,4860.797337336521,82.76656821830868,16942.966781292624,82.24188970814149,1.3552043433784102,50.65726852551652,-2.2056406192000435,-0.8727818934866333,-0.7851962065474923,0.14324845911731138,1.0936133750972776,-5.883150996216481e-16
99.09000000001379,4861.619757913029,82.78012148806725,16943.472369402843,82.24205765084567,1.355326975857361,50.558811021842146,-2.1936234413452693,-0.8792024224174814,-0.7989838634337755,0.1425650566712885,1.0915264753734175,-5.890426953830664e-16
99.1000000000138,4862.442180159294,82.7936759578834,16943.97697294614,82.24222462648156,1.355446981614091,50.46035432984538,-2.1814023178679256,-0.885503337546133,-0.8129722760228507,0.14186305709367408,1.089422760118374,-5.912254826673214e-16
99.1100000000138,4863.26460404913,82.8072316004302,16944.480591956875,82.24238898353917,1.3555642546798508,50.36190107358521,-2.168976454382544,-0.8916822730317844,-0.8271624327587611,0.1411532860356358,1.0873140914474675,-5.919530784287398e-16
99.1200000000138,4864.087029562271,82.820788393351,16944.98322644866,82.24255131410163,1.3556792920792298,50.26344917877902,-2.1563454774093733,-0.89773677773916,-0.8415549173868784,0.14043042123718996,1.0851884290500775,-5.926806741901581e-16
99.13000000001381,4864.909456669468,82.83434631011329,16945.484876463313,82.24271071976045,1.3557916762299138,50.16500146513859,-2.143509002498166,-0.9036644852113564,-0.856150279844089,0.13970387564919157,1.083063287829421,-5.926806741901581e-16
99.14000000001381,4865.731885345948,82.84790532995504,16945.985542037924,82.242867647969,1.3559019841748647,50.066557461041924,-2.1304669253125006,-0.9094630007967858,-0.8709487594435773,0.13897576212627594,1.0809360426024075,-5.919530784287398e-16
99.15000000001382,4866.554315571203,82.86146544325176,16946.485223200376,82.243022525485,1.3560113296717073,49.968116245106025,-2.117219482691477,-0.9151298794087758,-0.8859501904324868,0.1382500175374478,1.0787988017066301,-5.868599080988113e-16
99.16000000001382,4867.376747325343,82.87502662114306,16946.983919982944,82.24317541397616,1.3561177891301777,49.86967825678782,-2.1037672160593583,-0.9206627328288822,-0.9011542493357989,0.13751511026924357,1.0766629602698867,-5.919530784287398e-16
99.17000000001383,4868.199180595668,82.88858886330651,16947.481632386174,82.24332703247431,1.3562242163450517,49.77124032297526,-2.0901112621886475,-0.92605902848846,-0.9165598681748168,0.13677743345511217,1.0744997005144026,-5.926806741901581e-16
99.18000000001383,4869.021615357525,82.90215214218448,16947.978360428497,82.24347618573485,1.3563278877969345,49.672804232332496,-2.0762530101634784,-0.9313163455000287,-0.9321658924271079,0.13602589994608028,1.0723284236131037,-5.872237059795205e-16
99.19000000001384,4869.844051587279,82.91571645236016,16948.47410413901,82.24362297538788,1.3564310175685104,49.574371051487894,-2.062194022076069,-0.9364322746680994,-0.9479707893366777,0.13528074993778447,1.070148652970018,-5.792201526039188e-16
99.20000000001384,4870.666489276287,82.92928176683638,16948.968863523107,82.24376890081938,1.35653144762299,49.4759384094709,-2.0479365279922614,-0.9414044177524686,-0.9639726070634742,0.1345163606427057,1.0679583492066982,-5.788563547232096e-16
99.21000000001385,4871.488928391383,82.94284805791033,16949.46263860106,82.24391150950593,1.356629107394952,49.377507795355015,-2.033483046842933,-0.9462304228467582,-0.980169048341977,0.13373938692375165,1.0657615021196853,-5.770373653196637e-16
99.22000000001385,4872.311368914633,82.95641530737268,16949.95542939496,82.24405232502052,1.3567249462357933,49.27907938974594,-2.018836409447055,-0.9509079814908797,-0.9965574383317248,0.1329569894856992,1.0635606563888078,-5.766735674389545e-16
99.23000000001386,4873.133810818465,82.96998348312482,16950.44723593465,82.24419038315511,1.3568175752137726,49.18065396928136,-2.003999817371877,-0.9554348610593748,-1.0131348162300815,0.13216315896635464,1.0613648609522561,-5.784925568425004e-16
99.24000000001386,4873.956254076338,82.98355255892544,16950.938058259617,82.24432578732247,1.3569075800610813,49.08223249655439,-1.9889767496283097,-0.9598088905816095,-1.0298978741660898,0.1313662619011745,1.0591794877096816,-5.726717907511536e-16
99.25000000001387,4874.778698658738,82.9971225041248,16951.42789637701,82.24445823998865,1.356994519936501,48.98381173902852,-1.9737715529448965,-0.9640278657257921,-1.046842546456131,0.13054946907611067,1.056984774730517,-5.723079928704444e-16
99.26000000001387,4875.601144532692,83.01069329151915,16951.91675033502,82.24458739540653,1.3570787394348716,48.88539580149269,-1.9583884760829455,-0.9680897445408927,-1.0639647364744238,0.1297331695008407,1.0548072080962456,-5.715803971090261e-16
99.27000000001388,4876.423591679141,83.0242649007646,16952.40462014233,82.24471464493726,1.357160924545828,48.78698073088977,-1.942832687325405,-0.971992447181137,-1.0812594797509074,0.1289047654364452,1.052621422379354,-5.712165992283169e-16
99.28000000001389,4877.246040085647,83.03783730709385,16952.891505823212,82.24484065057521,1.3572406329239926,48.68856808808618,-1.9271095897997832,-0.9757340214614634,-1.0987215824607086,0.1280677839572257,1.0504420033548134,-5.704890034668985e-16
99.29000000001389,4878.068489731583,83.0514104897906,16953.37740741215,82.24496459364497,1.357318269674272,48.590158893884585,-1.9112249131409003,-0.9793126048755684,-1.1163454589622732,0.1272298551406265,1.048273186607288,-5.708528013476077e-16
99.3000000000139,4878.8909405941085,83.06498442598652,16953.862324943704,82.24508625252133,1.357393619592365,48.491753155246826,-1.8951848399978128,-0.9827264193134623,-1.134125086088327,0.12638968918440827,1.0461162674289775,-5.706709024072531e-16
99.3100000000139,4879.713392653385,83.07855908950665,16954.346258441477,82.24520592762796,1.3574663520136128,48.39334977722259,-1.8789961463589657,-0.9859737596969368,-1.1520539032521278,0.1255402275741167,1.0439665285417934,-5.648501363159063e-16
99.3200000000139,4880.535845893403,83.09213446283253,16954.829207924064,82.24532400180391,1.3575373325871332,48.29494825873713,-1.8626661034100236,-0.9890530026861776,-1.1701247992097437,0.12468531053695243,1.0418183921596291,-5.646682373755518e-16
99.33000000001391,4881.358300291925,83.10571052325004,16955.311173430808,82.24543985217065,1.357606041750151,48.19655067434852,-1.8462021367678798,-0.9919626767288305,-1.188330496275196,0.12383062677896546,1.0396878508233434,-5.673967214808705e-16
99.34000000001392,4882.180755829903,83.11928724705349,16955.792155005045,82.24555379785998,1.3576723803453954,48.09815742358373,-1.8296120189656588,-0.994701427006153,-1.2066633716214117,0.12297719376717083,1.0375794216228444,-5.673967214808705e-16
99.35000000001392,4883.003212486795,83.13286462205402,16956.272152693127,82.24566568912755,1.357737500052299,47.99976880809127,-1.8129038679321212,-0.997268001865654,-1.2251153544993532,0.1221345329775896,1.0354908751545626,-5.664872267790976e-16
99.36000000001393,4883.825670243093,83.14644262553142,16956.751166518097,82.24577562982627,1.3578003477408815,47.90138249702351,-1.79608653121188,-0.9996612422463125,-1.2436777870105584,0.1212852172938088,1.0334114127343543,-5.657596310176792e-16
99.37000000001393,4884.6481290652055,83.16002124264446,16957.229196524557,82.24588221129834,1.3578617113047349,47.80300064595163,-1.779168920364152,-1.0018801404707398,-1.2623418202841432,0.1204448048821591,1.0313513283591602,-5.66305327838743e-16
99.38000000001394,4885.470588935146,83.17360046237994,16957.706242740453,82.2459869941137,1.357921973547123,47.70462158948033,-1.7621605023315225,-1.0039237982109979,-1.2810980715152203,0.11960817285388839,1.0293004879028753,-5.690338119440617e-16
99.39000000001394,4886.2930498317755,83.1871802538625,16958.1823052109,82.24608966292497,1.357979148254969,47.60624704478561,-1.7450708128441434,-1.0057914942259982,-1.2999372091802701,0.11876912367319283,1.0272794812340904,-5.693066603545936e-16
